"date","EmpSearch","UnempSearch","OlfSearch","urate","conturate","searchrate","EmpSearch_sa","UnempSearch_sa","OlfSearch_sa","urate_sa","conturate_sa","searchrate_sa"
1980-01-01,0.132591428787404,0.960928182302614,0.0938345051343317,0.0695089246175352,0.115174550456953,0.232494821039323,0.131455814501461,0.957936584933831,0.0921730638286279,0.0646668104335481,0.107388768445494,0.224543783766338
1980-02-01,0.133518641576127,0.961718743151195,0.0938384819728313,0.0691991123761409,0.115103011347459,0.233253255207152,0.131596783291726,0.959576095758239,0.0920491694237387,0.0652654819514892,0.108083811671202,0.225314232758979
1980-03-01,0.134036374605363,0.961973718983708,0.0932610659434861,0.0674232890327521,0.113225920337128,0.232085903069147,0.131974527368275,0.96055375236825,0.0917933786870516,0.0663798482830127,0.109537714806538,0.227024934840362
1980-04-01,0.134036374605363,0.964121410793453,0.0927518591381321,0.06826181631074,0.113829645056778,0.232608706716116,0.132186497577366,0.964857634694682,0.0911764526427842,0.0702485407913407,0.113851111743246,0.231013331328177
1980-05-01,0.133629381565064,0.962018940592345,0.0921942206394989,0.0717737860856279,0.116067649112148,0.234186982506645,0.132810957252081,0.963486320169784,0.0921119742838957,0.0726710319062041,0.117594825408662,0.234830775946374
1980-06-01,0.129294260110705,0.960339292155859,0.0892450519100537,0.0797473125998808,0.119621995751381,0.233449818428445,0.132499757782521,0.966200634242193,0.0924550752025075,0.075127515936749,0.120546428475271,0.237019955391047
1980-07-01,0.128915626801219,0.964135776215521,0.0881793617542263,0.0797769262646935,0.118609379222213,0.232234403556496,0.13260098590851,0.965718420859431,0.0921526563478056,0.0769343406121648,0.122471978239313,0.238739950863186
1980-08-01,0.129294260110705,0.965600102562891,0.0902624813220972,0.0766329805757374,0.117974402315724,0.232015249367015,0.133317886096773,0.965024567202955,0.0928904970049818,0.0770614225656942,0.122778371588592,0.239666051762241
1980-09-01,0.131906746506798,0.965358718294288,0.093336279039105,0.0730227970272531,0.117713757501521,0.234093265237203,0.132570333145766,0.964665718743991,0.0923821127091934,0.0757953349310388,0.120333102480837,0.236916221199079
1980-10-01,0.134757397861861,0.965150458486531,0.0925051039486235,0.07271746831617,0.116408858902891,0.23547930185093,0.133839936039893,0.964917564282875,0.0921567208557522,0.0760058665694513,0.119872333505147,0.237649347911577
1980-11-01,0.134892290152013,0.963455349328168,0.0932666422142231,0.0732599253769225,0.117474639582487,0.236520506566436,0.133364166176631,0.963710809702755,0.092618028455326,0.0758537796453675,0.119587140885975,0.236975215884592
1980-12-01,0.135162886521425,0.964752943942897,0.0944347347400702,0.0711566748046199,0.116806312991421,0.236181321085001,0.133749116212293,0.962977684696655,0.0931582401309311,0.0745118403180785,0.118037233042486,0.23601045729547
1981-01-01,0.13444585436485,0.965748990685417,0.0942076944077292,0.0825639475117084,0.127770437754173,0.245038086452593,0.133271817035234,0.962717629069211,0.0925513129991391,0.0758596350095,0.119053235557397,0.236563370973909
1981-02-01,0.134823886353762,0.965058604866834,0.094747174912827,0.0820748184989145,0.127224804318297,0.244895748113269,0.132849971004181,0.962909391057242,0.0929615308914398,0.0761146002604961,0.119344447305841,0.23642436084247
1981-03-01,0.135434570715438,0.964122289715719,0.0936016023819559,0.0783194226415011,0.12263781454907,0.241462985497575,0.133344987031917,0.962713569710247,0.092125493404589,0.0760809249999491,0.118507541569722,0.236072495651348
1981-04-01,0.13522618195932,0.960780188336596,0.0939031009231073,0.0706323465362799,0.115126752713877,0.234784783462325,0.133357001056809,0.961513822699001,0.092306039267721,0.0733190516982496,0.115120095773914,0.233149481481316
1981-05-01,0.134324674079591,0.96261762228837,0.0921826381878972,0.0726311432241501,0.115807317504766,0.234576211404498,0.133535296813726,0.964075906073771,0.0920939539563381,0.0752528021482924,0.117474291182449,0.23537339856413
