0,0,17.081,111.27
0,0,11.567,24.435
0,0,11.346,34.054
0,0,12.925,16.043
0,0,9.8933,35.138
0,0,12.902,4.2366
0,0,12.361,154.9
0,0,11.265,13.006
0,0,9.9664,31.401
0,0,10.004,56.166
0,0,9.2449,109.12
0,0,13.064,39.004
0,0,22.951,46.724
1,10.784,0,0
0,0,19.104,55.918
0,0,10.836,12.099
0,0,12.76,60.991
0,0,11.913,63.248
0,0,12.079,36.852
0,0,18.636,128.75
0,0,16.988,13.331
0,0,12.825,11.077
0,0,10.4,30.291
0,0,16.326,27.266
0,0,9.0385,22.568
0,0,12.164,14.414
0,0,12.545,23.526
0,0,9.9805,112.59
0,0,9.8339,104.2
0,0,10.332,53.621
1,1.7831,0,0
0,0,18.597,12.438
0,0,11.682,8.4601
0,0,19.224,15.198
0,0,10.391,91.036
0,0,14.271,4.6927
0,0,10.08,0.44823
0,0,15.016,88.016
0,0,11.263,3.7594
0,0,12.531,17.455
0,0,9.159,51.718
1,8.2776,0,0
0,0,30.386,26.51
0,0,10.535,2.0284
0,0,11.864,77.407
0,0,9.2266,5.6967
0,0,10.911,67.031
0,0,16.686,0.30696
0,0,12.353,305.21
0,0,9.309,7.4498
1,0.70417,0,0
0,0,13.036,17.356
0,0,15.889,17.633
0,0,23.005,83.422
0,0,13.229,28.12
0,0,17.974,46.984
0,0,9.9977,25.211
0,0,9.9627,7.464
0,0,12.668,26.814
0,0,17.84,10.589
0,0,17.565,4.3213
0,0,14.536,107.34
0,0,15.738,39.108
0,0,11.904,46.921
0,0,9.7571,14.09
1,7.7063,0,0
0,0,10.397,129.97
0,0,22.803,2.641
0,0,12.631,3.0515
0,0,10.006,12.506
1,3.8525,0,0
0,0,10.403,56.556
0,0,13.597,31.075
0,0,18.804,20.981
1,0.19873,0,0
0,0,18.028,23.593
0,0,12.262,3.4387
0,0,10.864,49.852
0,0,9.2203,6.5936
0,0,10.351,2.5957
0,0,9.4343,11.387
0,0,9.7661,60.387
0,0,14.769,78.967
0,0,9.1515,8.8163
0,0,10.559,10.254
0,0,15.754,16.264
0,0,14.155,26.299
1,17.052,0,0
0,0,11.4,67.854
0,0,9.4073,93.229
0,0,21.861,63.029
0,0,8.8991,63.129
0,0,11.062,2.022
0,0,12.365,34.101
0,0,11.384,0.36213
0,0,11.074,94.52
0,0,10.969,20.378
0,0,11.717,33.958
0,0,11.521,53.721
0,0,19.177,15.577
0,0,10.99,106.88
0,0,13.848,230.09
1,15.725,0,0
0,0,9.4977,54.269
0,0,15.045,3.5349
0,0,10.882,16.956
0,0,11.505,31.268
0,0,10.212,23.991
0,0,11.686,34.931
0,0,11.305,116.17
0,0,21.113,3.1144
0,0,16.51,28.458
0,0,13.547,23.948
0,0,9.8661,15.796
0,0,20.831,1.9432
0,0,11.484,44.248
0,0,9.2106,23.023
0,0,17.823,8.4122
1,0.80358,0,0
0,0,14.213,12.505
0,0,14.175,74.009
0,0,15.966,23.03
0,0,15.269,150.81
0,0,8.9236,37.682
0,0,15.876,62.88
0,0,11.7,32.661
0,0,9.9468,39.602
0,0,14.212,8.0672
0,0,9.3945,5.517
0,0,11.42,47.248
0,0,9.9847,14.209
0,0,11.779,12.919
0,0,14.39,28.064
0,0,11.632,26.563
0,0,11.352,55.19
1,7.0292,0,0
0,0,21.509,226.05
0,0,17.948,7.3038
0,0,10.045,106.45
0,0,32.747,100.44
1,3.3801,0,0
0,0,8.9836,19.221
0,0,14.948,20.796
0,0,9.9259,21.51
0,0,12.746,0.99296
0,0,9.2962,4.7015
0,0,15.776,110.75
1,3.4531,0,0
0,0,19.772,0.91623
0,0,16.613,3.9597
0,0,10.531,34.808
0,0,11.612,17.122
0,0,12.166,17.893
0,0,9.4206,23.748
0,0,13.245,5.4246
1,5.8643,0,0
0,0,9.8623,196.97
0,0,12.661,111.01
0,0,13.195,0.65305
0,0,9.3556,34.22
0,0,9.5103,120.08
0,0,12.381,8.5693
0,0,12.651,10.265
1,1.8433,0,0
0,0,12.72,22.657
0,0,10.599,46.306
0,0,12.555,16.098
0,0,10.97,30.4
0,0,14.7,27.896
0,0,9.6921,39.499
0,0,14.506,24.21
1,0.63929,0,0
0,0,9.7657,50.401
0,0,9.9809,4.0878
0,0,9.0418,12.071
0,0,9.3974,8.574
1,0.92639,0,0
0,0,9.5793,37.809
0,0,10.57,40.758
0,0,9.5247,110.1
0,0,17.753,83.12
1,9.0551,0,0
