minimum_wage,unemployed,duration,wage
7.5,0,0,11.2261998293641
7.5,0,0,14.2103323741482
7.5,0,0,13.8037097500578
7.5,0,0,8.96083292214197
7.5,0,0,8.06167419930926
7.5,0,0,7.81596772968516
7.5,0,0,11.3923878074538
7.5,0,0,20.3301543407026
7.5,0,0,21.4805712393298
7.5,0,0,8.88214321026845
7.5,0,0,8.95527740732449
7.5,0,0,10.1262828186296
7.5,0,0,9.76125335729302
7.5,1,0.0274342508737699,0
7.5,0,0,16.7158943408687
7.5,0,0,7.57574708707334
7.5,0,0,7.95630286738208
7.5,0,0,7.73914527875765
7.5,0,0,7.86660490365561
7.5,0,0,9.60656634353633
7.5,0,0,7.80529763916907
7.5,0,0,7.93481203494487
7.5,0,0,8.64745623157084
7.5,0,0,10.1098932771564
7.5,0,0,12.1492287424551
7.5,0,0,12.827787337838
7.5,0,0,9.11940443133813
7.5,0,0,7.64640467568037
7.5,0,0,8.45157064622487
7.5,0,0,7.8616172782362
7.5,1,0.0935389009017699,0
7.5,0,0,13.9102287207308
7.5,0,0,16.3453289352266
7.5,0,0,15.2721537833885
7.5,0,0,8.59532030444815
7.5,0,0,9.7751975088362
7.5,0,0,10.1510511541566
7.5,0,0,11.9948693748616
7.5,0,0,12.7057149957825
7.5,0,0,9.37087308151131
7.5,0,0,8.5377767841211
7.5,1,4.37179389637256,0
7.5,0,0,10.1545658882756
7.5,0,0,12.384746650942
7.5,0,0,23.8070718079608
7.5,0,0,10.3543469346773
7.5,0,0,8.18877034437763
7.5,0,0,13.7532889905096
7.5,0,0,10.9302901897197
7.5,0,0,8.85190726276839
7.5,1,0.173209218301178,0
7.5,0,0,10.7812715190226
7.5,0,0,10.9469163557967
7.5,0,0,7.88773809308693
7.5,0,0,12.9856795844761
7.5,0,0,17.6698360105986
7.5,0,0,19.2192682250836
7.5,0,0,7.5
7.5,0,0,9.35841649466121
7.5,0,0,8.84814588475851
7.5,0,0,8.40184570173548
7.5,0,0,7.65784402200544
7.5,0,0,8.90165395710937
7.5,0,0,10.8767461688657
7.5,0,0,19.3849620445945
7.5,1,0.493768302124296,0
7.5,0,0,8.85950670268894
7.5,0,0,10.4694994464745
7.5,0,0,13.358480159218
7.5,0,0,13.58498296936
7.5,1,0.889006929514048,0
7.5,0,0,9.14801684543336
7.5,0,0,9.3128101589025
7.5,0,0,11.9690938374088
7.5,1,0.0771570974174479,0
7.5,0,0,18.8684559880684
7.5,0,0,9.98164463644591
7.5,1,0.731555320567175,0
7.5,1,0.0967594994476277,0
7.5,0,0,8.79828126861535
7.5,0,0,11.5830695643624
7.5,0,0,15.9828348604677
7.5,0,0,9.54366196064212
7.5,0,0,14.5394798528864
7.5,0,0,10.4865611561292
7.5,0,0,8.98944361012683
7.5,0,0,7.93856521738456
7.5,1,0.407010527324644,0
7.5,0,0,23.5397004872901
7.5,0,0,7.69140216723428
7.5,0,0,29.6138022626124
7.5,0,0,11.6958209180072
7.5,0,0,11.0528618956224
7.5,0,0,9.62581284152436
7.5,0,0,19.6348922499983
7.5,0,0,10.3448381488824
7.5,1,0.299036253317301,0
7.5,0,0,9.54249085306465
7.5,0,0,13.7524183671895
7.5,0,0,15.3026957153796
